X,Y,Name,CITY,CROSS_ST,DIR,Field_1,OWLROUTES,POINT_X,POINT_Y,POS,PUBLIC_NAME,ROUTESSTPG,SHAPE,STATUS,STREET,SYSTEMSTOP
-87.846407001,41.974865,East River Rd & Berwyn,CHICAGO,BERWYN,NB,"East River Rd &amp; Berwyn",,-87.846407,41.974865,NS,"East River Rd &amp; Berwyn",81W,Point,In Service,EAST RIVER RD,8590
-87.839027804,41.983679541,Cumberland Blue Line Station,CHICAGO,BLUE LINE STATION,SWB,Cumberland Blue Line Station,,-87.839028,41.98368,TERM,Cumberland Blue Line Station,81W,Point,In Service,CUMBERLAND,14143
-87.836432974,41.966699853,Lawrence & Cumberland,NORRIDGE,CUMBERLAND,WB,"Lawrence &amp; Cumberland",,-87.836433,41.9667,NS,"Lawrence &amp; Cumberland",81W,Point,In Service,LAWRENCE,9751
-87.836836999,41.97382,Cumberland & Foster,NORRIDGE,FOSTER,SB,"Cumberland &amp; Foster",,-87.836837,41.97382,NS,"Cumberland &amp; Foster",81W,Point,In Service,CUMBERLAND,8566
-87.836540999,41.975598,Cumberland & Berwyn,CHICAGO,BERWYN,NB,"Cumberland &amp; Berwyn",,-87.836541,41.975598,NS,"Cumberland &amp; Berwyn",81W,Point,In Service,CUMBERLAND,8565
-87.826597781,41.966930633,Lawrence & Canfield,NORRIDGE,CANFIELD,WB,"Lawrence &amp; Canfield",,-87.826598,41.966931,NS,"Lawrence &amp; Canfield",81W,Point,In Service,LAWRENCE,9747
-87.826196343,41.937822371,Belmont & Pacific (80th Avenue),CHICAGO,PACIFIC (80TH AVENUE),WB,"Belmont &amp; Pacific (80th Avenue)",,-87.826196,41.937822,NS,"Belmont &amp; Pacific (80th Avenue)",77,Point,In Service,BELMONT,9358
-87.82374345,41.937890656,Belmont & Orange (79th Avenue),CHICAGO,ORANGE (79TH AVENUE),WB,"Belmont &amp; Orange (79th Avenue)",,-87.823743,41.937891,NS,"Belmont &amp; Orange (79th Avenue)",77,Point,In Service,BELMONT,9357
-87.823226302,41.966740296,Lawrence & Opal,NORRIDGE,OPAL,EB,"Lawrence &amp; Opal",,-87.823226,41.96674,NS,"Lawrence &amp; Opal",81W,Point,In Service,LAWRENCE,9717
-87.821795001,41.945121001,Addison & Ozanam,CHICAGO,OZANAM,EB,"Addison &amp; Ozanam",,-87.821795,41.945121,NS,"Addison &amp; Ozanam",152,Point,In Service,ADDISON,12471
-87.820249927,42.005248869,Northwest Hwy & Ozark,CHICAGO,OZARK,SEB,"Northwest Hwy &amp; Ozark",,-87.82025,42.005249,NS,"Northwest Hwy &amp; Ozark",68,Point,In Service,NORTHWEST HWY,9924
-87.822201825,42.00669425,Northwest Hwy & Merrill,PARK RIDGE,MERRILL,NWB,"Northwest Hwy &amp; Merrill",,-87.822202,42.006694,NS,"Northwest Hwy &amp; Merrill",68,Point,In Service,NORTHWEST HWY,9912
-87.816851019,41.967077379,Lawrence & Oriole,HARWOOD HEIGHTS,ORIOLE (west leg),WB,"Lawrence &amp; Oriole",,-87.816851,41.967077,NS,"Lawrence &amp; Oriole",81W,Point,In Service,LAWRENCE,9744
-87.813970453,41.938001779,Belmont & Olcott,CHICAGO,OLCOTT,WB,"Belmont &amp; Olcott",,-87.81397,41.938002,NS,"Belmont &amp; Olcott",77,Point,In Service,BELMONT,9353
-87.814764056,41.952515793,Irving Park & Olcott,CHICAGO,OLCOTT,EB,"Irving Park &amp; Olcott",,-87.814764,41.952516,NS,"Irving Park &amp; Olcott",80,Point,In Service,IRVING PARK,5602
-87.809543999,41.998572,6486 N Northwest Hwy,CHICAGO,6486 NORTH,SEB,6486 N Northwest Hwy,,-87.809544,41.998572,MB,6486 N Northwest Hwy,68,Point,In Service,NORTHWEST HWY,9931
-87.80525962,41.892368295,Harlem & Oak,RIVER FOREST,OAK,SB,"Harlem &amp; Oak",,-87.80526,41.892368,NS,"Harlem &amp; Oak",90,Point,In Service,HARLEM,15735
-87.805207476,41.897993601,Harlem & Augusta,OAK PARK,AUGUSTA,NB,"Harlem &amp; Augusta",,-87.805207,41.897994,FS,"Harlem &amp; Augusta",90,Point,In Service,HARLEM,18379
-87.805864471,41.914161198,Harlem & Cortland,CHICAGO,CORTLAND,NB,"Harlem &amp; Cortland",,-87.805864,41.914161,NS,"Harlem &amp; Cortland","90,307",Point,In Service,HARLEM,15711
-87.80593986,41.919706224,Harlem & Palmer,CHICAGO,PALMER,NB,"Harlem &amp; Palmer",,-87.80594,41.919706,NS,"Harlem &amp; Palmer","90,307",Point,In Service,HARLEM,15714
-87.806386913,41.921788532,Harlem & Belden,ELMWOOD PARK,BELDEN,SB,"Harlem &amp; Belden",,-87.806387,41.921789,NS,"Harlem &amp; Belden","90,307",Point,In Service,HARLEM,15719
-87.806118032,41.922250692,Harlem & Medill,CHICAGO,MEDILL,NB,"Harlem &amp; Medill",,-87.806118,41.922251,NS,"Harlem &amp; Medill","90,307",Point,In Service,HARLEM,15716
-87.806066469,41.921006643,Harlem & Belden,CHICAGO,BELDEN (south leg),NB,"Harlem &amp; Belden",,-87.806066,41.921007,NS,"Harlem &amp; Belden","90,307",Point,In Service,HARLEM,15715
-87.806577029,41.929462426,Harlem & Schubert,ELMWOOD PARK,SCHUBERT (north leg),SB,"Harlem &amp; Schubert",,-87.806577,41.929462,NS,"Harlem &amp; Schubert",90,Point,In Service,HARLEM,11788
-87.806702328,41.932841223,Harlem & George,ELMWOOD PARK,GEORGE (north leg),SB,"Harlem &amp; George",,-87.806702,41.932841,NS,"Harlem &amp; George",90,Point,In Service,HARLEM,11786
-87.806824202,41.94520049,Addison & Harlem,CHICAGO,HARLEM,EB,"Addison &amp; Harlem",,-87.806824,41.9452,FS,"Addison &amp; Harlem",152,Point,In Service,ADDISON,17358
-87.80699,41.947004,Harlem & Waveland,CHICAGO,WAVELAND (north leg),NB,"Harlem &amp; Waveland",,-87.80699,41.947004,NS,"Harlem &amp; Waveland",90,Point,In Service,HARLEM,11808
-87.807265001,41.950803,Harlem & Byron,CHICAGO,BYRON,SB,"Harlem &amp; Byron",,-87.807265,41.950803,NS,"Harlem &amp; Byron",90,Point,In Service,HARLEM,11776
-87.807119,41.950638,Harlem & Byron,CHICAGO,BYRON,NB,"Harlem &amp; Byron",,-87.807119,41.950638,NS,"Harlem &amp; Byron",90,Point,In Service,HARLEM,11810
-87.807398886,41.958308051,Harlem & Cullom,NORRIDGE,CULLOM,SB,"Harlem &amp; Cullom",,-87.807399,41.958308,NS,"Harlem &amp; Cullom",90,Point,In Service,HARLEM,11771
-87.807372153,41.961371366,Harlem & Agatite,NORRIDGE,AGATITE (south leg),SB,"Harlem &amp; Agatite",,-87.807372,41.961371,NS,"Harlem &amp; Agatite",90,Point,In Service,HARLEM,11769
-87.807103,41.958099,Harlem & Cullom,NORRIDGE,CULLOM,NB,"Harlem &amp; Cullom",,-87.807103,41.958099,NS,"Harlem &amp; Cullom",90,Point,In Service,HARLEM,11813
-87.806924167,41.977028162,Harlem & Berwyn,CHICAGO,BERWYN,NB,"Harlem &amp; Berwyn",,-87.806924,41.977028,NS,"Harlem &amp; Berwyn",90,Point,In Service,HARLEM,15927
-87.806360175,41.980874836,Higgins & Harlem,CHICAGO,HARLEM,SEB,"Higgins &amp; Harlem",,-87.80636,41.980875,FS,"Higgins &amp; Harlem",88,Point,In Service,HIGGINS,9860
-87.801059117,41.78475322,Harlem & 59th Street,CHICAGO,59TH STREET,NB,"Harlem &amp; 59th Street",,-87.801059,41.784753,FS,"Harlem &amp; 59th Street",62H,Point,In Service,HARLEM,7811
-87.801290522,41.908839391,North Ave & Forest,OAK PARK,FOREST,EB,"North Ave &amp; Forest",,-87.801291,41.908839,NS,"North Ave &amp; Forest",72,Point,In Service,NORTH AVENUE,846
-87.800835231,41.930893084,Diversey & Sayre,CHICAGO,SAYRE,WB,"Diversey &amp; Sayre",,-87.800835,41.930893,NS,"Diversey &amp; Sayre",76,Point,In Service,DIVERSEY,11108
-87.803229801,41.945401532,Addison & Nordica,CHICAGO,NORDICA,WB,"Addison &amp; Nordica",,-87.80323,41.945402,NS,"Addison &amp; Nordica",152,Point,In Service,ADDISON,12619
-87.802265667,41.980170933,Higgins & Nordica,CHICAGO,NORDICA,NWB,"Higgins &amp; Nordica",,-87.802266,41.980171,NS,"Higgins &amp; Nordica",88,Point,In Service,HIGGINS,9817
-87.798271991,41.777450684,63rd Street & Nottingham,CHICAGO,NOTTINGHAM,WB,"63rd Street &amp; Nottingham",,-87.798272,41.777451,NT,"63rd Street &amp; Nottingham",63W,Point,In Service,63RD STREET,4682
