index,Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Filled Trip Seconds,Trip Day Of Week,Trip Month,Time Of Day,Average Velocity (miles/h),Distance to nearest Bus Stop (in Miles),ID,Total Population,Number of female,Share Of Female,Share of People Over 65,Median Age,Household,Date Only,Date,Average Temperature (°F),Average Humidity (%),Average Wind Speed (mph),Average Pressure (in),Total Precipitation (in)
6671,3406eb3534c1f50b4000d6d986bfc1b0ce4ab829,2021-01-23,2021-01-23 00:00:00,0.8,081800,081700,5.0,1.0,3.1,9.1,False,1.0,41.8932163595,-87.6378442095,41.8920421365,-87.6318639497,216.0,Saturday,1,Night,0.013333333333333334,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
30332,3477187b41dc864343dace905d32f1d598c6c9d5,2021-01-23,2021-01-23 00:00:00,0.7,081800,081700,7.5,0.0,1.23,8.73,False,1.0,41.8932163595,-87.6378442095,41.8920421365,-87.6318639497,284.0,Saturday,1,Night,0.008873239436619718,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
86410,3585ef4308834f92f6e67843a6117dac9a943f82,2021-01-23,2021-01-23 00:00:00,1.7,081800,833100,5.0,1.0,3.11,9.11,False,1.0,41.8932163595,-87.6378442095,41.8790669938,-87.657005027,391.0,Saturday,1,Night,0.01565217391304348,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
545551,3e27911af472db6bbd56da751f34cccee73cce60,2021-01-23,2021-01-23 00:15:00,3.2,081800,240300,7.5,0.0,3.1,10.6,False,1.0,41.8932163595,-87.6378442095,41.9123643542,-87.6750627566,534.0,Saturday,1,Night,0.02157303370786517,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
576605,3ebd196ef0c3356ff2e032adce456287f9e08a5c,2021-01-23,2021-01-23 00:00:00,1.4,081800,833100,7.5,0.0,3.25,10.75,False,1.0,41.8932163595,-87.6378442095,41.8790669938,-87.657005027,476.0,Saturday,1,Night,0.010588235294117647,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1139785,4954a4de0acf760321ecb41151805d764fc15fc2,2021-01-23,2021-01-23 00:00:00,2.0,081800,839000,7.5,0.0,3.1,10.6,False,1.0,41.8932163595,-87.6378442095,41.8710158803,-87.6314065252,495.0,Saturday,1,Night,0.014545454545454545,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1280557,4bf92007f3c062234c87093ca1df078a74764919,2021-01-23,2021-01-23 00:15:00,1.8,081800,071500,5.0,0.0,3.1,8.1,False,1.0,41.8932163595,-87.6378442095,41.9146162864,-87.6317173661,415.0,Saturday,1,Night,0.015614457831325302,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1822524,5634483b7e5995c6cefdeb03db0e9e483b09ee1e,2021-01-23,2021-01-23 00:15:00,6.4,081800,050200,12.5,0.0,3.1,15.6,False,1.0,41.8932163595,-87.6378442095,41.957735565,-87.683718102,786.0,Saturday,1,Night,0.02931297709923664,0.058447519908850706,081800,12213.0,6240.999999999999,0.5110128551543437,0.06951608941292066,33.8,7957.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1875488,5734b6c49feed00350fdab91bae37caed2aabe4c,2021-01-23,2021-01-23 00:00:00,1.3,081403,081000,5.0,0.0,3.1,8.1,False,1.0,41.8909220259,-87.6188683546,41.9002656868,-87.6321092196,336.0,Saturday,1,Night,0.013928571428571429,0.06998248688161307,081403,8987.0,4637.0,0.5159675086235673,0.08968510070101257,32.6,7496.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2314397,5f7a1d1eca4807c6ce9eef9447ccc15101d458b9,2021-01-23,2021-01-23 00:00:00,1.2,081403,081700,7.5,0.0,3.4,10.9,False,1.0,41.8909220259,-87.6188683546,41.8920421365,-87.6318639497,328.0,Saturday,1,Night,0.013170731707317073,0.06998248688161307,081403,8987.0,4637.0,0.5159675086235673,0.08968510070101257,32.6,7496.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
3232681,70c6beffeb472ed139281d618abdb521403ec0f4,2021-01-23,2021-01-23 00:00:00,0.9,081403,081600,5.0,0.0,3.1,8.1,False,1.0,41.8909220259,-87.6188683546,41.8920726347,-87.6288741572,247.0,Saturday,1,Night,0.01311740890688259,0.06998248688161307,081403,8987.0,4637.0,0.5159675086235673,0.08968510070101257,32.6,7496.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
2914268,6ac96e5e53d7e642f1234479abf93191c36f255d,2021-01-23,2021-01-23 00:15:00,4.9,062800,281900,10.0,0.0,3.1,13.1,False,1.0,41.936159071,-87.6612652184,41.8792550844,-87.642648998,769.0,Saturday,1,Night,0.022938881664499353,0.009969124246968745,062800,3682.0,1992.0000000000002,0.5410103204780011,0.03802281368821293,30.1,1668.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
1815580,56129020cf908cb6c3c156415e38f237a183425c,2021-01-23,2021-01-23 00:15:00,2.7,071500,839100,7.5,0.0,3.1,10.6,False,1.0,41.9146162864,-87.6317173661,41.8809944707,-87.6327464887,711.0,Saturday,1,Night,0.013670886075949368,0.002868982139863682,071500,5991.0,3291.0,0.5493239859789685,0.12235019195459856,31.6,4294.0,2021-00-23,2021-01-23,22.5,52.6,6.5,29.6,0.0
